available_bike_stands,available_bikes,bike_stands,name,address,number,date,lat,lon,last_updated
11,9,20,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,6,2024-03-13T15:10:51,,,
11,9,20,DVORANA TABOR,Gorkega ulica 48,22,2024-03-13T15:10:51,,,
18,2,20,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,14,2024-03-13T15:10:51,,,
12,8,20,LIDL - TITOVA C.,Titova cesta 15,19,2024-03-13T15:10:51,,,
0,20,20,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,25,2024-03-13T15:10:51,,,
14,6,20,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,17,2024-03-13T15:10:51,,,
12,8,20,UM FGPA - LENT - SODNI STOLP,Pristan 6,28,2024-03-13T15:10:51,,,
9,11,20,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,8,2024-03-13T15:10:51,,,
13,7,20,PARTIZANSKA C. - TIC,Partizanska cesta 6a,7,2024-03-13T15:10:51,,,
11,11,22,GOSPOSVETSKA C. - VRBANSKA C.,Gosposvetska cesta 20,2,2024-03-13T15:10:51,,,
14,2,16,MLADINSKA UL. - TRUBARJEVA UL.,Mladinska ulica 15,5,2024-03-13T15:10:51,,,
13,7,20,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,12,2024-03-13T15:10:51,,,
18,2,20,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,15,2024-03-13T15:10:51,,,
9,11,20,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,26,2024-03-13T15:10:51,,,
10,10,20,LJUBLJANSKA UL. - FOCHEVA,LJUBLJANSKA 41,23,2024-03-13T15:10:51,,,
9,11,20,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,27,2024-03-13T15:10:51,,,
18,2,20,LIDL - KOROŠKA C.,Koroška cesta 173,18,2024-03-13T15:10:51,,,
11,9,20,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,11,2024-03-13T15:10:51,,,
9,11,20,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,24,2024-03-13T16:11:47,,,
13,7,20,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,10,2024-03-13T16:11:47,,,
12,8,20,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,9,2024-03-13T16:11:47,,,
11,9,20,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,13,2024-03-13T16:11:47,,,
12,9,21,EUROPARK - POBREŠKA C.,Pobreška cesta 18,20,2024-03-13T16:11:47,,,
15,5,20,STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,4,2024-03-13T16:11:47,,,
16,6,22,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,1,2024-03-13T16:11:47,,,
8,12,20,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,16,2024-03-13T16:11:47,,,
16,4,20,GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,3,2024-03-13T16:11:47,,,
10,10,20,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,21,2024-03-13T16:11:47,,,
6,14,20,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,6,2024-03-13T16:11:47,,,
9,11,20,DVORANA TABOR,Gorkega ulica 48,22,2024-03-13T16:11:47,,,
12,8,20,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,14,2024-03-13T16:11:47,,,
11,9,20,LIDL - TITOVA C.,Titova cesta 15,19,2024-03-13T16:11:47,,,
14,6,20,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,25,2024-03-13T16:11:47,,,
4,16,20,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,17,2024-03-13T16:11:47,,,
13,7,20,UM FGPA - LENT - SODNI STOLP,Pristan 6,28,2024-03-13T16:11:47,,,
8,12,20,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,8,2024-03-13T16:11:47,,,
11,9,20,PARTIZANSKA C. - TIC,Partizanska cesta 6a,7,2024-03-13T16:11:47,,,
10,12,22,GOSPOSVETSKA C. - VRBANSKA C.,Gosposvetska cesta 20,2,2024-03-13T16:11:47,,,
16,0,16,MLADINSKA UL. - TRUBARJEVA UL.,Mladinska ulica 15,5,2024-03-13T16:11:47,,,
8,12,20,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,12,2024-03-13T16:11:47,,,
12,8,20,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,15,2024-03-13T16:11:47,,,
9,11,20,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,26,2024-03-13T16:11:47,,,
16,4,20,LJUBLJANSKA UL. - FOCHEVA,LJUBLJANSKA 41,23,2024-03-13T16:11:47,,,
5,15,20,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,27,2024-03-13T16:11:47,,,
19,1,20,LIDL - KOROŠKA C.,Koroška cesta 173,18,2024-03-13T16:11:47,,,
6,14,20,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,11,2024-03-13T16:11:47,,,
11,9,20,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,24,2024-03-13T17:10:18,,,
2,18,20,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,10,2024-03-13T17:10:18,,,
19,1,20,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,9,2024-03-13T17:10:18,,,
10,10,20,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,13,2024-03-13T17:10:18,,,
4,17,21,EUROPARK - POBREŠKA C.,Pobreška cesta 18,20,2024-03-13T17:10:18,,,
10,10,20,STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,4,2024-03-13T17:10:18,,,
19,3,22,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,1,2024-03-13T17:10:18,,,
0,20,20,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,16,2024-03-13T17:10:18,,,
14,6,20,GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,3,2024-03-13T17:10:18,,,
12,8,20,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,21,2024-03-13T17:10:18,,,
8,12,20,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,6,2024-03-13T17:10:18,,,
5,15,20,DVORANA TABOR,Gorkega ulica 48,22,2024-03-13T17:10:18,,,
17,3,20,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,14,2024-03-13T17:10:18,,,
10,10,20,LIDL - TITOVA C.,Titova cesta 15,19,2024-03-13T17:10:18,,,
12,8,20,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,25,2024-03-13T17:10:18,,,
6,14,20,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,17,2024-03-13T17:10:18,,,
14,6,20,UM FGPA - LENT - SODNI STOLP,Pristan 6,28,2024-03-13T17:10:18,,,
11,9,20,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,8,2024-03-13T17:10:18,,,
8,10,20,PARTIZANSKA C. - TIC,Partizanska cesta 6a,7,2024-03-13T17:10:18,,,
8,14,22,GOSPOSVETSKA C. - VRBANSKA C.,Gosposvetska cesta 20,2,2024-03-13T17:10:18,,,
15,1,16,MLADINSKA UL. - TRUBARJEVA UL.,Mladinska ulica 15,5,2024-03-13T17:10:18,,,
12,8,20,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,12,2024-03-13T17:10:18,,,
19,1,20,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,15,2024-03-13T17:10:18,,,
8,12,20,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,26,2024-03-13T17:10:18,,,
14,6,20,LJUBLJANSKA UL. - FOCHEVA,LJUBLJANSKA 41,23,2024-03-13T17:10:18,,,
12,8,20,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,27,2024-03-13T17:10:18,,,
20,0,20,LIDL - KOROŠKA C.,Koroška cesta 173,18,2024-03-13T17:10:18,,,
17,3,20,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,11,2024-03-13T17:10:18,,,
7,13,20,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,24,2024-03-13T18:12:13,,,
7,13,20,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,10,2024-03-13T18:12:13,,,
9,11,20,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,9,2024-03-13T18:12:13,,,
5,15,20,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,13,2024-03-13T18:12:13,,,
6,15,21,EUROPARK - POBREŠKA C.,Pobreška cesta 18,20,2024-03-13T18:12:13,,,
18,2,20,STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,4,2024-03-13T18:12:13,,,
8,14,22,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,1,2024-03-13T18:12:13,,,
4,16,20,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,16,2024-03-13T18:12:13,,,
14,6,20,GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,3,2024-03-13T18:12:13,,,
15,5,20,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,21,2024-03-13T18:12:13,,,
20,0,20,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,6,2024-03-13T18:12:13,,,
14,6,20,DVORANA TABOR,Gorkega ulica 48,22,2024-03-13T18:12:13,,,
16,4,20,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,14,2024-03-13T18:12:13,,,
9,11,20,LIDL - TITOVA C.,Titova cesta 15,19,2024-03-13T18:12:13,,,
10,10,20,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,25,2024-03-13T18:12:13,,,
11,9,20,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,17,2024-03-13T18:12:13,,,
14,6,20,UM FGPA - LENT - SODNI STOLP,Pristan 6,28,2024-03-13T18:12:13,,,
12,8,20,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,8,2024-03-13T18:12:13,,,
15,5,20,PARTIZANSKA C. - TIC,Partizanska cesta 6a,7,2024-03-13T18:12:13,,,
10,12,22,GOSPOSVETSKA C. - VRBANSKA C.,Gosposvetska cesta 20,2,2024-03-13T18:12:13,,,
10,6,16,MLADINSKA UL. - TRUBARJEVA UL.,Mladinska ulica 15,5,2024-03-13T18:12:13,,,
10,10,20,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,12,2024-03-13T18:12:13,,,
19,1,20,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,15,2024-03-13T18:12:13,,,
9,11,20,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,26,2024-03-13T18:12:13,,,
14,6,20,LJUBLJANSKA UL. - FOCHEVA,LJUBLJANSKA 41,23,2024-03-13T18:12:13,,,
10,10,20,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,27,2024-03-13T18:12:13,,,
10,10,20,LIDL - KOROŠKA C.,Koroška cesta 173,18,2024-03-13T18:12:13,,,
15,5,20,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,11,2024-03-13T18:12:13,,,
10,10,20,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,24,2024-03-13T19:09:03,46.54199,15.63831,1710356861000.0
1,19,20,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,10,2024-03-13T19:09:03,46.557328,15.646833,1710356691000.0
11,9,20,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,9,2024-03-13T19:09:03,46.558519,15.649072,1710356693000.0
4,16,20,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,13,2024-03-13T19:09:03,46.561555,15.65692,1710356483000.0
4,17,21,EUROPARK - POBREŠKA C.,Pobreška cesta 18,20,2024-03-13T19:09:03,46.554703,15.652826,1710356491000.0
20,0,20,STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,4,2024-03-13T19:09:03,46.558498,15.64146,1710356609000.0
8,14,22,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,1,2024-03-13T19:09:03,46.562695,15.62935,1710356759000.0
3,17,20,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,16,2024-03-13T19:09:03,46.559319,15.63498,1710356906000.0
15,5,20,GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,3,2024-03-13T19:09:03,46.560761,15.64053,1710356855000.0
15,5,20,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,21,2024-03-13T19:09:03,46.550683,15.639333,1710356528000.0
19,1,20,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,6,2024-03-13T19:09:03,46.558924,15.644443,1710356508000.0
11,9,20,DVORANA TABOR,Gorkega ulica 48,22,2024-03-13T19:09:03,46.549005,15.635014,1710356426000.0
14,6,20,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,14,2024-03-13T19:09:03,46.552652,15.646023,1710356920000.0
9,11,20,LIDL - TITOVA C.,Titova cesta 15,19,2024-03-13T19:09:03,46.551963,15.651564,1710356367000.0
7,13,20,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,25,2024-03-13T19:09:03,46.542655,15.634329,1710356856000.0
8,12,20,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,17,2024-03-13T19:09:03,46.553109,15.624098,1710356902000.0
14,6,20,UM FGPA - LENT - SODNI STOLP,Pristan 6,28,2024-03-13T19:09:03,46.556731,15.64212,1710356492000.0
10,10,20,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,8,2024-03-13T19:09:03,46.56196,15.650235,1710356526000.0
12,8,20,PARTIZANSKA C. - TIC,Partizanska cesta 6a,7,2024-03-13T19:09:03,46.560227,15.650781,1710356843000.0
17,5,22,GOSPOSVETSKA C. - VRBANSKA C.,Gosposvetska cesta 20,2,2024-03-13T19:09:03,46.561422,15.637118,1710356704000.0
9,7,16,MLADINSKA UL. - TRUBARJEVA UL.,Mladinska ulica 15,5,2024-03-13T19:09:03,46.56294,15.644185,1710356805000.0
11,9,20,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,12,2024-03-13T19:09:03,46.558534,15.654739,1710356666000.0
20,0,20,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,15,2024-03-13T19:09:03,46.548853,15.645591,1710356536000.0
11,9,20,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,26,2024-03-13T19:09:03,46.543986,15.629317,1710356371000.0
11,9,20,LJUBLJANSKA UL. - FOCHEVA,LJUBLJANSKA 41,23,2024-03-13T19:09:03,46.545947,15.644015,1710356559000.0
13,7,20,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,27,2024-03-13T19:09:03,46.554741,15.659814,1710356592000.0
5,15,20,LIDL - KOROŠKA C.,Koroška cesta 173,18,2024-03-13T19:09:03,46.565603,15.623133,1710356611000.0
12,8,20,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,11,2024-03-13T19:09:03,46.56056,15.652935,1710356580000.0
9,11,20,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,24,2024-03-13T20:10:05,46.54199,15.63831,1710360055000.0
0,20,20,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,10,2024-03-13T20:10:05,46.557328,15.646833,1710360304000.0
7,13,20,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,9,2024-03-13T20:10:05,46.558519,15.649072,1710360084000.0
3,17,20,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,13,2024-03-13T20:10:05,46.561555,15.65692,1710360122000.0
10,11,21,EUROPARK - POBREŠKA C.,Pobreška cesta 18,20,2024-03-13T20:10:05,46.554703,15.652826,1710360133000.0
20,0,20,STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,4,2024-03-13T20:10:05,46.558498,15.64146,1710360264000.0
4,18,22,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,1,2024-03-13T20:10:05,46.562695,15.62935,1710360575000.0
10,10,20,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,16,2024-03-13T20:10:05,46.559319,15.63498,1710360477000.0
15,5,20,GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,3,2024-03-13T20:10:05,46.560761,15.64053,1710360488000.0
12,8,20,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,21,2024-03-13T20:10:05,46.550683,15.639333,1710360096000.0
20,0,20,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,6,2024-03-13T20:10:05,46.558924,15.644443,1710360156000.0
10,10,20,DVORANA TABOR,Gorkega ulica 48,22,2024-03-13T20:10:05,46.549005,15.635014,1710360077000.0
14,6,20,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,14,2024-03-13T20:10:05,46.552652,15.646023,1710360166000.0
9,11,20,LIDL - TITOVA C.,Titova cesta 15,19,2024-03-13T20:10:05,46.551963,15.651564,1710359997000.0
7,13,20,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,25,2024-03-13T20:10:05,46.542655,15.634329,1710360332000.0
6,14,20,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,17,2024-03-13T20:10:05,46.553109,15.624098,1710360113000.0
15,5,20,UM FGPA - LENT - SODNI STOLP,Pristan 6,28,2024-03-13T20:10:05,46.556731,15.64212,1710360128000.0
10,10,20,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,8,2024-03-13T20:10:05,46.56196,15.650235,1710360256000.0
15,5,20,PARTIZANSKA C. - TIC,Partizanska cesta 6a,7,2024-03-13T20:10:05,46.560227,15.650781,1710360535000.0
18,4,22,GOSPOSVETSKA C. - VRBANSKA C.,Gosposvetska cesta 20,2,2024-03-13T20:10:05,46.561422,15.637118,1710360544000.0
9,7,16,MLADINSKA UL. - TRUBARJEVA UL.,Mladinska ulica 15,5,2024-03-13T20:10:05,46.56294,15.644185,1710360139000.0
7,13,20,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,12,2024-03-13T20:10:05,46.558534,15.654739,1710360105000.0
18,2,20,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,15,2024-03-13T20:10:05,46.548853,15.645591,1710360332000.0
10,10,20,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,26,2024-03-13T20:10:05,46.543986,15.629317,1710360029000.0
13,7,20,LJUBLJANSKA UL. - FOCHEVA,LJUBLJANSKA 41,23,2024-03-13T20:10:05,46.545947,15.644015,1710360194000.0
12,8,20,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,27,2024-03-13T20:10:05,46.554741,15.659814,1710360223000.0
6,14,20,LIDL - KOROŠKA C.,Koroška cesta 173,18,2024-03-13T20:10:05,46.565603,15.623133,1710360248000.0
12,8,20,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,11,2024-03-13T20:10:05,46.56056,15.652935,1710360213000.0
11,9,20,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,24,2024-03-13T21:10:54,46.54199,15.63831,1710363690000.0
6,14,20,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,10,2024-03-13T21:10:54,46.557328,15.646833,1710363946000.0
7,13,20,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,9,2024-03-13T21:10:54,46.558519,15.649072,1710363968000.0
1,19,20,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,13,2024-03-13T21:10:54,46.561555,15.65692,1710363756000.0
9,12,21,EUROPARK - POBREŠKA C.,Pobreška cesta 18,20,2024-03-13T21:10:54,46.554703,15.652826,1710363764000.0
14,6,20,STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,4,2024-03-13T21:10:54,46.558498,15.64146,1710363901000.0
5,17,22,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,1,2024-03-13T21:10:54,46.562695,15.62935,1710363955000.0
14,6,20,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,16,2024-03-13T21:10:54,46.559319,15.63498,1710364041000.0
16,4,20,GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,3,2024-03-13T21:10:54,46.560761,15.64053,1710364121000.0
11,9,20,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,21,2024-03-13T21:10:54,46.550683,15.639333,1710363732000.0
16,4,20,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,6,2024-03-13T21:10:54,46.558924,15.644443,1710363789000.0
15,5,20,DVORANA TABOR,Gorkega ulica 48,22,2024-03-13T21:10:54,46.549005,15.635014,1710364121000.0
14,6,20,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,14,2024-03-13T21:10:54,46.552652,15.646023,1710363800000.0
9,11,20,LIDL - TITOVA C.,Titova cesta 15,19,2024-03-13T21:10:54,46.551963,15.651564,1710363628000.0
6,14,20,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,25,2024-03-13T21:10:54,46.542655,15.634329,1710363966000.0
4,16,20,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,17,2024-03-13T21:10:54,46.553109,15.624098,1710363749000.0
14,6,20,UM FGPA - LENT - SODNI STOLP,Pristan 6,28,2024-03-13T21:10:54,46.556731,15.64212,1710363762000.0
11,9,20,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,8,2024-03-13T21:10:54,46.56196,15.650235,1710363971000.0
18,2,20,PARTIZANSKA C. - TIC,Partizanska cesta 6a,7,2024-03-13T21:10:54,46.560227,15.650781,1710364133000.0
19,3,22,GOSPOSVETSKA C. - VRBANSKA C.,Gosposvetska cesta 20,2,2024-03-13T21:10:54,46.561422,15.637118,1710363733000.0
12,4,16,MLADINSKA UL. - TRUBARJEVA UL.,Mladinska ulica 15,5,2024-03-13T21:10:54,46.56294,15.644185,1710363778000.0
6,14,20,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,12,2024-03-13T21:10:54,46.558534,15.654739,1710363843000.0
14,6,20,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,15,2024-03-13T21:10:54,46.548853,15.645591,1710363812000.0
9,11,20,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,26,2024-03-13T21:10:54,46.543986,15.629317,1710363939000.0
13,7,20,LJUBLJANSKA UL. - FOCHEVA,LJUBLJANSKA 41,23,2024-03-13T21:10:54,46.545947,15.644015,1710363948000.0
10,10,20,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,27,2024-03-13T21:10:54,46.554741,15.659814,1710363856000.0
2,18,20,LIDL - KOROŠKA C.,Koroška cesta 173,18,2024-03-13T21:10:54,46.565603,15.623133,1710363880000.0
10,10,20,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,11,2024-03-13T21:10:54,46.56056,15.652935,1710363845000.0
13,7,20,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,24,2024-03-13T22:09:43,46.54199,15.63831,1710367724000.0
8,12,20,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,10,2024-03-13T22:09:43,46.557328,15.646833,1710367586000.0
8,12,20,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,9,2024-03-13T22:09:43,46.558519,15.649072,1710367725000.0
2,18,20,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,13,2024-03-13T22:09:43,46.561555,15.65692,1710367390000.0
8,13,21,EUROPARK - POBREŠKA C.,Pobreška cesta 18,20,2024-03-13T22:09:43,46.554703,15.652826,1710367395000.0
18,2,20,STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,4,2024-03-13T22:09:43,46.558498,15.64146,1710367539000.0
4,18,22,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,1,2024-03-13T22:09:43,46.562695,15.62935,1710367589000.0
11,9,20,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,16,2024-03-13T22:09:43,46.559319,15.63498,1710367539000.0
15,5,20,GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,3,2024-03-13T22:09:43,46.560761,15.64053,1710367147000.0
11,9,20,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,21,2024-03-13T22:09:43,46.550683,15.639333,1710367367000.0
17,3,20,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,6,2024-03-13T22:09:43,46.558924,15.644443,1710367423000.0
14,6,20,DVORANA TABOR,Gorkega ulica 48,22,2024-03-13T22:09:43,46.549005,15.635014,1710367350000.0
14,6,20,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,14,2024-03-13T22:09:43,46.552652,15.646023,1710367435000.0
9,11,20,LIDL - TITOVA C.,Titova cesta 15,19,2024-03-13T22:09:43,46.551963,15.651564,1710367723000.0
7,13,20,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,25,2024-03-13T22:09:43,46.542655,15.634329,1710367598000.0
6,14,20,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,17,2024-03-13T22:09:43,46.553109,15.624098,1710367385000.0
14,6,20,UM FGPA - LENT - SODNI STOLP,Pristan 6,28,2024-03-13T22:09:43,46.556731,15.64212,1710367394000.0
11,9,20,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,8,2024-03-13T22:09:43,46.56196,15.650235,1710367427000.0
18,2,20,PARTIZANSKA C. - TIC,Partizanska cesta 6a,7,2024-03-13T22:09:43,46.560227,15.650781,1710367162000.0
21,1,22,GOSPOSVETSKA C. - VRBANSKA C.,Gosposvetska cesta 20,2,2024-03-13T22:09:43,46.561422,15.637118,1710367366000.0
12,4,16,MLADINSKA UL. - TRUBARJEVA UL.,Mladinska ulica 15,5,2024-03-13T22:09:43,46.56294,15.644185,1710367410000.0
2,18,20,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,12,2024-03-13T22:09:43,46.558534,15.654739,1710367351000.0
9,11,20,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,15,2024-03-13T22:09:43,46.548853,15.645591,1710367443000.0
9,11,20,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,26,2024-03-13T22:09:43,46.543986,15.629317,1710367695000.0
14,6,20,LJUBLJANSKA UL. - FOCHEVA,LJUBLJANSKA 41,23,2024-03-13T22:09:43,46.545947,15.644015,1710367465000.0
11,9,20,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,27,2024-03-13T22:09:43,46.554741,15.659814,1710367487000.0
1,19,20,LIDL - KOROŠKA C.,Koroška cesta 173,18,2024-03-13T22:09:43,46.565603,15.623133,1710367511000.0
